id,name,followers,popularity,uri
7IsLRXgrGBhZPleg96NhwA,ron quixote,1791,50,spotify:artist:7IsLRXgrGBhZPleg96NhwA
13ubrt8QOOCPljQ2FL1Kca,A$AP Rocky,14824222,85,spotify:artist:13ubrt8QOOCPljQ2FL1Kca
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,44536939,88,spotify:artist:6M2wZ9GZgrQXHCFfjv46we
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,32200543,86,spotify:artist:0hCNtLu0JehylgoiP8L4Gh
4AK6F7OLvEQ5QYCBNiQWHq,One Direction,36242393,84,spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq
2h93pZq0e7k5yf4dywlkpM,Frank Ocean,15202243,87,spotify:artist:2h93pZq0e7k5yf4dywlkpM
7CajNmpbOovFoOoasH2HaY,Calvin Harris,22819097,87,spotify:artist:7CajNmpbOovFoOoasH2HaY
0fA0VVWsXO9YnASrzqfmYu,Kid Cudi,7182957,79,spotify:artist:0fA0VVWsXO9YnASrzqfmYu
4UXqAaa6dQYAk18Lv7PEgX,Fall Out Boy,10829128,79,spotify:artist:4UXqAaa6dQYAk18Lv7PEgX
6vXTefBL93Dj5IqAWq6OTv,French Montana,5501793,75,spotify:artist:6vXTefBL93Dj5IqAWq6OTv
4F4pp8NUW08JuXwnoxglpN,Bad Gyal,1764063,73,spotify:artist:4F4pp8NUW08JuXwnoxglpN
6V394G6torkxVfqL39qEgK,All Artist Adella,503,11,spotify:artist:6V394G6torkxVfqL39qEgK
2IMZYfNi21MGqxopj9fWx8,Rels B,7864035,83,spotify:artist:2IMZYfNi21MGqxopj9fWx8
4q3ewBCX7sLwd24euuV69X,Bad Bunny,85126082,95,spotify:artist:4q3ewBCX7sLwd24euuV69X
2iEvnFsWxR0Syqu2JNopAd,Smash Mouth,1107194,68,spotify:artist:2iEvnFsWxR0Syqu2JNopAd
7fT2Me47PQ8T7954PKrcwR,Bhavi,1472176,70,spotify:artist:7fT2Me47PQ8T7954PKrcwR
6XyY86QOPPrYVGvF9ch6wz,Linkin Park,26320429,86,spotify:artist:6XyY86QOPPrYVGvF9ch6wz
0AqlFI0tz2DsEoJlKSIiT9,Emilia,3444049,80,spotify:artist:0AqlFI0tz2DsEoJlKSIiT9
7hp5hDp0WIQHip75gbNc8v,Patrick Lite,8279,53,spotify:artist:7hp5hDp0WIQHip75gbNc8v
0SwO7SWeDHJijQ3XNS7xEE,MGMT,3178895,75,spotify:artist:0SwO7SWeDHJijQ3XNS7xEE
2OhUNb01gLwygOizYvTm0e,Big One,591212,73,spotify:artist:2OhUNb01gLwygOizYvTm0e
5CA5IqbsFr4hpNLdjgO0BU,DJ Tao,702138,65,spotify:artist:5CA5IqbsFr4hpNLdjgO0BU
2IKdK6PbitvCiXt1t2bPU6,Mesita,491204,68,spotify:artist:2IKdK6PbitvCiXt1t2bPU6
7MdlXmq2HViAJWo9cf30sR,Cloonee,161743,60,spotify:artist:7MdlXmq2HViAJWo9cf30sR
4Plry2Y9OHFE9P4Hx3MBI1,"Jacqueline B. Arnold, Anastacia McCleskey, Ashley Spencer, Will Swenson & Company",61,4,spotify:artist:4Plry2Y9OHFE9P4Hx3MBI1
1kwRrQDCpXpVliMDntpxCt,Tom Budin,28962,46,spotify:artist:1kwRrQDCpXpVliMDntpxCt
3cnAJv9gydgm52KFIsdvO8,Ferreck Dawn,61943,55,spotify:artist:3cnAJv9gydgm52KFIsdvO8
2wpWOzQE5TpA0dVnh5YD08,Bronski Beat,615570,66,spotify:artist:2wpWOzQE5TpA0dVnh5YD08
7bi8ABpXgK2DpE5nRaWdZ5,BURNR,1431,31,spotify:artist:7bi8ABpXgK2DpE5nRaWdZ5
5YFS41yoX0YuFY39fq21oN,Bob Sinclar,641627,73,spotify:artist:5YFS41yoX0YuFY39fq21oN
1edseOzmoKjzS0PijF7b0G,MC Kaique da VP,8755,41,spotify:artist:1edseOzmoKjzS0PijF7b0G
3hteYQFiMFbJY7wS0xDymP,Gesaffelstein,646221,71,spotify:artist:3hteYQFiMFbJY7wS0xDymP
3vmZybcmAnD5q3J5h6K8Ny,Somebody's Son,353,34,spotify:artist:3vmZybcmAnD5q3J5h6K8Ny
4gJj9oQfNWsfgwKYeUdlCe,Vanilla Beach,732,37,spotify:artist:4gJj9oQfNWsfgwKYeUdlCe
2QOIawHpSlOwXDvSqQ9YJR,Antonio Vivaldi,2531705,70,spotify:artist:2QOIawHpSlOwXDvSqQ9YJR
3tMLo1k3iUo82coMLWXzxq,Henry Purcell,174685,54,spotify:artist:3tMLo1k3iUo82coMLWXzxq
5MXNb6vuHgdZalR71LkKgd,Golden Horses,348,21,spotify:artist:5MXNb6vuHgdZalR71LkKgd
35AOZRP5Z6yMNvFlfR6ixh,Search For Atlantis,495,32,spotify:artist:35AOZRP5Z6yMNvFlfR6ixh
3IpQziA6YwD53PQ5xbwgLF,Jóhann Jóhannsson,285161,64,spotify:artist:3IpQziA6YwD53PQ5xbwgLF
5bLGj9jAzmBqGwjB2UbjOC,Beau Projet,848,19,spotify:artist:5bLGj9jAzmBqGwjB2UbjOC
0ADS8B9CUYtbFLvjT99Ktw,Alex Gopher,23722,36,spotify:artist:0ADS8B9CUYtbFLvjT99Ktw
1QOmebWGB6FdFtW7Bo3F0W,Gustavo Cerati,4601906,72,spotify:artist:1QOmebWGB6FdFtW7Bo3F0W
2x7PC78TmgqpEIjaGAZ0Oz,Trueno,7310643,82,spotify:artist:2x7PC78TmgqpEIjaGAZ0Oz
5rI6C5mJm6GYXbGHhpHTu9,Attaque 77,602318,58,spotify:artist:5rI6C5mJm6GYXbGHhpHTu9
4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",16115337,85,spotify:artist:4V8LLVI7PbaPR0K2TGSxFF
1FY8kqUQKHwjibwLbp5cey,Eelke Kleijn,124737,53,spotify:artist:1FY8kqUQKHwjibwLbp5cey
4bw2Am3p9ji3mYsXNXtQcd,Piso 21,9114764,73,spotify:artist:4bw2Am3p9ji3mYsXNXtQcd
5szJHKg5xeUlQ9pTqzdpic,Taiu,81634,71,spotify:artist:5szJHKg5xeUlQ9pTqzdpic
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,54269055,88,spotify:artist:53XhwfbYqKCa1cC15pYq2q
4MoCPQEZqegox8Ng6SUGrb,PM Artist Sessions Project,578,25,spotify:artist:4MoCPQEZqegox8Ng6SUGrb
51Q6RZOMEMuZHySsfWLTtk,Lil Troca,98559,53,spotify:artist:51Q6RZOMEMuZHySsfWLTtk
246dkjvS1zLTtiykXe5h60,Post Malone,45208229,93,spotify:artist:246dkjvS1zLTtiykXe5h60
6aq8T2RcspxVOGgMrTzjWc,Soft Cell,712308,66,spotify:artist:6aq8T2RcspxVOGgMrTzjWc
5ZNxiPcbKgaNcBrERMpqeu,Mägo de Oz,4300447,69,spotify:artist:5ZNxiPcbKgaNcBrERMpqeu
5Pb27ujIyYb33zBqVysBkj,RÜFÜS DU SOL,1735839,73,spotify:artist:5Pb27ujIyYb33zBqVysBkj
0kj68SnX4WCXwveyBbRX8p,MC Saci,398034,71,spotify:artist:0kj68SnX4WCXwveyBbRX8p
4oLeXFyACqeem2VImYeBFe,Fred again..,1652484,79,spotify:artist:4oLeXFyACqeem2VImYeBFe
0hEurMDQu99nJRq8pTxO14,John Mayer,6029755,78,spotify:artist:0hEurMDQu99nJRq8pTxO14
56oDRnqbIiwx4mymNEv7dS,Lizzo,5722625,70,spotify:artist:56oDRnqbIiwx4mymNEv7dS
0ZrpamOxcZybMHGg1AYtHP,Robin Thicke,1940687,64,spotify:artist:0ZrpamOxcZybMHGg1AYtHP
0x1B0bD5jSY4Py6VWB66Fe,D38,16238,40,spotify:artist:0x1B0bD5jSY4Py6VWB66Fe
2LIk90788K0zvyj2JJVwkJ,Jack Harlow,3915075,79,spotify:artist:2LIk90788K0zvyj2JJVwkJ
0VRj0yCOv2FXJNP47XQnx5,Quavo,7561570,80,spotify:artist:0VRj0yCOv2FXJNP47XQnx5
4Hq1Ag7BjclRA90SxsMbcE,Israel Fiore,1309,29,spotify:artist:4Hq1Ag7BjclRA90SxsMbcE
51exMAz5wLQG0NnpihX2C9,Jonnystash,402,1,spotify:artist:51exMAz5wLQG0NnpihX2C9
1xP2Pos7aO9ONLRav8fmny,Muppet DJ,51997,37,spotify:artist:1xP2Pos7aO9ONLRav8fmny
6ykfXAed2KOLOMI3R0TZdz,Art Blakey & The Jazz Messengers,227491,47,spotify:artist:6ykfXAed2KOLOMI3R0TZdz
19SmlbABtI4bXz864MLqOS,Carl Cox,791685,53,spotify:artist:19SmlbABtI4bXz864MLqOS
0GdhrNbXSn4TOvqinRC076,Santiago Ibarra,3799,54,spotify:artist:0GdhrNbXSn4TOvqinRC076
4s3lxX76LwxzMdQEAFYdzv,Tropa do Bruxo,288083,63,spotify:artist:4s3lxX76LwxzMdQEAFYdzv
5H1nN1SzW0qNeUEZvuXjAj,Danny Ocean,5552297,77,spotify:artist:5H1nN1SzW0qNeUEZvuXjAj
6m6e7D2TnV0aYMllFFwMxu,Guilherme & Benuto,1271638,76,spotify:artist:6m6e7D2TnV0aYMllFFwMxu
4DdkRBBYG6Yk9Ka8tdJ9BW,Offset,4297739,79,spotify:artist:4DdkRBBYG6Yk9Ka8tdJ9BW
7tU1VKOuxiNZwBZC6RHidA,Alexis y Fido,5252997,66,spotify:artist:7tU1VKOuxiNZwBZC6RHidA
2VQmB7dgKLHJve0htcYfiQ,James Jackson Jazz Trio,6848,52,spotify:artist:2VQmB7dgKLHJve0htcYfiQ
3bBZZ3bsQwZ6DmUH51cabg,Rudy Snow,205,21,spotify:artist:3bBZZ3bsQwZ6DmUH51cabg
6ll13Y20dnndy8mAuF9tgk,Grayville Trio,689,41,spotify:artist:6ll13Y20dnndy8mAuF9tgk
1afLjwMvnNhyy6JpewWpeK,Kuipers & Winter,959,38,spotify:artist:1afLjwMvnNhyy6JpewWpeK
0tJbegEI1Xa3pUnlGhwph8,Neil Dunker,95,12,spotify:artist:0tJbegEI1Xa3pUnlGhwph8
6BLANsh44CPzD19TF0X0Et,More than Jazz,1013,42,spotify:artist:6BLANsh44CPzD19TF0X0Et
1PbqUXqRFkCIIKvm2048At,Sweet Spot Lab,381,33,spotify:artist:1PbqUXqRFkCIIKvm2048At
6TCS4quLkqSnAMbwfkKzAt,BrandonLee Cierley,533,26,spotify:artist:6TCS4quLkqSnAMbwfkKzAt
5ghUUQxtMMankpzWRxckkI,Sidual.,918,36,spotify:artist:5ghUUQxtMMankpzWRxckkI
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,17621014,84,spotify:artist:4O15NlyKLIASxsJ0PrXPfz
1Qv4E1VgZOGnOYd99Kp5Bs,Las Pelotas,700498,57,spotify:artist:1Qv4E1VgZOGnOYd99Kp5Bs
4TK1gDgb7QKoPFlzRrBRgR,Los Enanitos Verdes,4311291,73,spotify:artist:4TK1gDgb7QKoPFlzRrBRgR
68PKk1kwlU32sq0WuTTf0s,Zauvage,185,37,spotify:artist:68PKk1kwlU32sq0WuTTf0s
6wwQjgTWrlZBFU4PcloxaR,Hanses,733,30,spotify:artist:6wwQjgTWrlZBFU4PcloxaR
6OGkTrVt13n4C075wLe17B,Rocket Jr,450,18,spotify:artist:6OGkTrVt13n4C075wLe17B
37qnORF8QfcLsPYb6lRhiq,Birds Of The West,2765,39,spotify:artist:37qnORF8QfcLsPYb6lRhiq
4dIQxgH4s739dGAHaKAw0y,lorleaf,1336,46,spotify:artist:4dIQxgH4s739dGAHaKAw0y
3jcvzSheHd14vjraXHLGPN,Belocca,22002,41,spotify:artist:3jcvzSheHd14vjraXHLGPN
1eBBS6WRUF3I0JGkLMHtNt,Miles Henley,558,32,spotify:artist:1eBBS6WRUF3I0JGkLMHtNt
1U1el3k54VvEUzo3ybLPlM,Kali Uchis,7807359,84,spotify:artist:1U1el3k54VvEUzo3ybLPlM
12GqGscKJx3aE4t07u7eVZ,Peso Pluma,15743441,93,spotify:artist:12GqGscKJx3aE4t07u7eVZ
0ys2OFYzWYB5hRDLCsBqxt,Fuerza Regida,11102317,88,spotify:artist:0ys2OFYzWYB5hRDLCsBqxt
40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,4957665,91,spotify:artist:40ZNYROS4zLfyyBSs2PGe2
6P9V4I7JlXTWt4llgXpiPO,Trio Del Norte,1918,49,spotify:artist:6P9V4I7JlXTWt4llgXpiPO
2bucqt2BrsK6W5p1H4Edu4,Madeleine West,904,40,spotify:artist:2bucqt2BrsK6W5p1H4Edu4
32ENZVmItiETXMCYfM1bbS,noturgf,86103,66,spotify:artist:32ENZVmItiETXMCYfM1bbS
6gjAbs229sNHhSskJpQ2mG,Artist Unknown,640,21,spotify:artist:6gjAbs229sNHhSskJpQ2mG
1gR0gsQYfi6joyO1dlp76N,Justice,1258479,65,spotify:artist:1gR0gsQYfi6joyO1dlp76N
22wbnEMDvgVIAGdFeek6ET,Benson Boone,3433917,86,spotify:artist:22wbnEMDvgVIAGdFeek6ET
6olE6TJLqED3rqDCT0FyPh,Nirvana,20143716,82,spotify:artist:6olE6TJLqED3rqDCT0FyPh
4IJczjB0fJ04gs4uvP0Fli,Gym Class Heroes,1496499,68,spotify:artist:4IJczjB0fJ04gs4uvP0Fli
5EjK7aUvQ9LMNqc2zXiWLS,ivri,56337,55,spotify:artist:5EjK7aUvQ9LMNqc2zXiWLS
2sf28o6euxEDpYkG9dMtuM,Cartoon,229250,61,spotify:artist:2sf28o6euxEDpYkG9dMtuM
7keGfmQR4X5w0two1xKZ7d,Kungs,952426,71,spotify:artist:7keGfmQR4X5w0two1xKZ7d
0Y3agQaa6g2r0YmHPOO9rh,Davido,5524990,72,spotify:artist:0Y3agQaa6g2r0YmHPOO9rh
0NKDgy9j66h3DLnN8qu1bB,Eurythmics,2072438,71,spotify:artist:0NKDgy9j66h3DLnN8qu1bB
43ZHCT0cAZBISjO8DG9PnE,Elvis Presley,9802884,79,spotify:artist:43ZHCT0cAZBISjO8DG9PnE
3XINWZaloea97SIRiyTJxX,DubVision,319791,57,spotify:artist:3XINWZaloea97SIRiyTJxX
16oZKvXb6WkQlVAjwo2Wbg,The Lumineers,5470245,79,spotify:artist:16oZKvXb6WkQlVAjwo2Wbg
0C0XlULifJtAgn6ZNCW2eu,The Killers,7432671,78,spotify:artist:0C0XlULifJtAgn6ZNCW2eu
2AsusXITU8P25dlRNhcAbG,Gotye,2187415,72,spotify:artist:2AsusXITU8P25dlRNhcAbG
586uxXMyD5ObPuzjtrzO1Q,Sofi Tukker,820657,69,spotify:artist:586uxXMyD5ObPuzjtrzO1Q
2m8ROV7jEwm66LBxUNhUMt,Sonny Wern,87959,63,spotify:artist:2m8ROV7jEwm66LBxUNhUMt
13saZpZnCDWOI9D4IJhp1f,Lily Allen,2058125,68,spotify:artist:13saZpZnCDWOI9D4IJhp1f
2ST5XwWB4uXGKk2NXP8DUI,Los Cafres,1410528,62,spotify:artist:2ST5XwWB4uXGKk2NXP8DUI
4jCIAMb0zEArF3GYEYzoDk,Joy Again,328373,62,spotify:artist:4jCIAMb0zEArF3GYEYzoDk
2n6FviARgtjjimZXu18uRM,Le Tigre,420905,58,spotify:artist:2n6FviARgtjjimZXu18uRM
7FNnA9vBm6EKceENgCGRMb,Anitta,12603677,81,spotify:artist:7FNnA9vBm6EKceENgCGRMb
5MraexJKZDrQYzS98kNwie,Sevdaliza,663895,78,spotify:artist:5MraexJKZDrQYzS98kNwie
4VsbQvC84B8Z3IsBY1HLQy,La Factoria,473589,63,spotify:artist:4VsbQvC84B8Z3IsBY1HLQy
11kt6ggsdxvI8MhyeSMKom,CYRIL,254201,80,spotify:artist:11kt6ggsdxvI8MhyeSMKom
6TVVIyd0fsRDGg6WzHKyTP,Durand Jones & The Indications,384837,61,spotify:artist:6TVVIyd0fsRDGg6WzHKyTP
7c53ZFyajVMTo08HmvoB6b,zzoilo,103017,60,spotify:artist:7c53ZFyajVMTo08HmvoB6b
6gjAbs229sNHhSskJpQ2mG,Artist Unknown,640,21,spotify:artist:6gjAbs229sNHhSskJpQ2mG
7dlkBH23ERFXxuNoMHq94Y,Q' Lokura,1126491,71,spotify:artist:7dlkBH23ERFXxuNoMHq94Y
7mx6iGwPF157vXwYcl1DQ3,Restricted,90387,59,spotify:artist:7mx6iGwPF157vXwYcl1DQ3
09L3cUdx0hq6qn5bKuJJ4I,Herb Alpert & The Tijuana Brass,199200,57,spotify:artist:09L3cUdx0hq6qn5bKuJJ4I
0HxX6imltnNXJyQhu4nsiO,LF SYSTEM,80831,65,spotify:artist:0HxX6imltnNXJyQhu4nsiO
4Rus30xX4FOv2cyeFI79Qh,Elijah Fox,51357,59,spotify:artist:4Rus30xX4FOv2cyeFI79Qh
2x9SpqnPi8rlE9pjHBwmSC,Talking Heads,2517358,70,spotify:artist:2x9SpqnPi8rlE9pjHBwmSC
4CxK8Xr9IqYUzhTLhdSfp5,Bolden.,7671,45,spotify:artist:4CxK8Xr9IqYUzhTLhdSfp5
2KD9QZ3u2oLgdRKsKVSW4I,SERAPHINE NOIR,100309,45,spotify:artist:2KD9QZ3u2oLgdRKsKVSW4I
5KbEFz293OMDqqk9ajZKZV,vbnd,50451,50,spotify:artist:5KbEFz293OMDqqk9ajZKZV
32GAlFg8ZU34WZLFjAUAGQ,Stelvio Cipriani,32756,49,spotify:artist:32GAlFg8ZU34WZLFjAUAGQ
7aE9KUqEEWrasYryOkJG7O,Maston,18233,47,spotify:artist:7aE9KUqEEWrasYryOkJG7O
1AeC9AuzqGc3IXMC2T5xny,Zakk Wylde,570639,57,spotify:artist:1AeC9AuzqGc3IXMC2T5xny
0GZZDfmSrMDswOFc9nBWQz,ProdMarvin,22982,42,spotify:artist:0GZZDfmSrMDswOFc9nBWQz
55KBAeJzZBcJ5AhPW5OOpy,Soul Legend,6030,47,spotify:artist:55KBAeJzZBcJ5AhPW5OOpy
5UVzX8pQe6bb5ueNdfViih,Chris Malinchak,91291,50,spotify:artist:5UVzX8pQe6bb5ueNdfViih
6HUm6AHJE0oisACMN6NNJ5,Faul & Wad,67331,55,spotify:artist:6HUm6AHJE0oisACMN6NNJ5
540vIaP2JwjQb9dm3aArA4,DJ Snake,8813882,79,spotify:artist:540vIaP2JwjQb9dm3aArA4
4pb4rqWSoGUgxm63xmJ8xc,Madeon,649907,55,spotify:artist:4pb4rqWSoGUgxm63xmJ8xc
6VD4UEUPvtsemqD3mmTqCR,Deorro,1258710,67,spotify:artist:6VD4UEUPvtsemqD3mmTqCR
5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,24641512,83,spotify:artist:5YGY8feqx7naU7z4HrwZM6
6KImCVD70vtIoJWnq6nGn3,Harry Styles,32841988,84,spotify:artist:6KImCVD70vtIoJWnq6nGn3
15MhssYzR2iVJ9M3dJtsqm,Artists Against,594,14,spotify:artist:15MhssYzR2iVJ9M3dJtsqm
1tSiIyp5dxfbEaS0nZGMEl,Basstripper,34779,49,spotify:artist:1tSiIyp5dxfbEaS0nZGMEl
5SA5qxjYXQTxjQ56s22J4q,GEN.KLOUD,10870,52,spotify:artist:5SA5qxjYXQTxjQ56s22J4q
64KEffDW9EtZ1y2vBYgq8T,Marshmello,33781347,84,spotify:artist:64KEffDW9EtZ1y2vBYgq8T
3nFkdlSjzX9mRTtwJOzDYB,JAY-Z,9381356,84,spotify:artist:3nFkdlSjzX9mRTtwJOzDYB
3TVXtAsR1Inumwj472S9r4,Drake,91470389,95,spotify:artist:3TVXtAsR1Inumwj472S9r4
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,26908463,92,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x
